story id,short story,Question 1,Option 1A,Option 1B,Option 1C,Option 1D,Correct Answer 1,Question 2,Option 2A,Option 2B,Option 2C,Option 2D,Correct Answer 2,Question 3,Option 3A,Option 3B,Option 3C,Option 3D,Correct Answer 3
1,"Elara lived in a city painted in shades of grey. Every day felt the same – work, home, sleep. One morning, she found a vibrant, wild poppy growing through a crack in the sidewalk outside her apartment. Its unexpected beauty struck her. She started noticing other small bursts of color: a vibrant mural on a brick wall, a child's bright balloon drifting skyward, the fiery orange of a sunset. The grey city hadn't changed, but Elara's perspective had. Life, she realized, wasn't about waiting for the color, but about finding it.",What caused Elara's change in perspective?,Finding a new job,Moving to a different city,Discovering a wild poppy,Meeting a new friend,C,What is the main theme of the story?,The beauty of nature,The importance of routine,Finding joy in small things,Escaping a dull life,C,How did Elara's view of her city change?,She started disliking it more,She realized it was more colorful than she thought,She wanted to move away,She became indifferent to her surroundings,B
2,"Leo had a talent for listening. People gravitated towards him, sharing their worries, dreams, and everyday stories. He didn't offer solutions or grand advice, just quiet attention and a nod that said, ""I hear you."" His friends felt lighter after talking to him, carrying less of a burden. Leo learned that sometimes, the most powerful form of communication isn't speaking, but simply being present and truly listening.",What was Leo's special talent?,Giving advice,Telling stories,Actively listening,Solving problems,C,What was the effect of Leo's listening on his friends?,They felt more burdened,They felt ignored,They felt understood and lighter,They expected him to solve their problems,C,What lesson did Leo learn about communication?,Speaking is more important than listening,Offering solutions is key,Being present and listening is powerful,Only experts can truly help others,C
3,"The old clockmaker, Mr. Abernathy, believed every timepiece had a soul. He spoke to them as he meticulously repaired their gears and springs, whispering encouragement to tick steadily. People said his clocks kept perfect time, not just because of his skill, but because of the care he poured into them. When a young apprentice asked his secret, Mr. Abernathy simply smiled, ""They respond to kindness, my boy. Just like everything else.""",What did Mr. Abernathy believe about timepieces?,They were just machines,They had souls,They were difficult to repair,They were only valuable if old,B,What did people say about Mr. Abernathy's clocks?,They were always broken,They were very slow,They kept perfect time,They were very loud,C,According to Mr. Abernathy, what was the secret to his clocks' accuracy?,Using special tools,Working very fast,Treating them with kindnessUsing expensive parts,C
4,"Maya was terrified of public speaking. The thought of standing in front of an audience made her palms sweat and her voice tremble. For her final class presentation, she practiced tirelessly in her empty room, focusing on her breathing and visualizing success. When the day came, her heart pounded, but she remembered her practice. She spoke slowly, made eye contact, and shared her ideas with surprising clarity. The fear didn't vanish, but she had found a way to speak alongside it.",What was Maya's biggest fear?,Writing essays,Public speaking,Taking exams,Group projects,B,How did Maya prepare for her presentation?,By avoiding practice,By focusing on her fear,By practicing and visualizing success,By asking someone else to do it,C,What did Maya learn about fear and public speaking?,Fear disappears completely with practice,You can never overcome the fear,You can learn to manage and speak despite the fear,It's best to avoid public speaking altogether,C
5,"The small village relied on the ancient well for water. One summer, the well began to run dry. Panic set in. People argued about who was to blame and what to do. A quiet elder suggested they work together to dig a little deeper, sharing the labor. Skeptical at first, the villagers eventually agreed. They dug, side by side, their differences forgotten in the shared effort. After days of toil, they struck a new, abundant spring. The well wasn't just full of water; it was full of renewed community spirit.",What was the main problem the village faced?,A shortage of food,A broken bridge,A drying well,A lack of housing,C,What did the elder suggest the villagers do?,Leave the village,Blame each other,Work together to dig deeper,Build a new well far away,C,What was the result of the villagers working together?,They argued more,They found a new water source and unity,The well remained dry,Only a few people benefited,B
6,"Ben loved to paint, but he was a perfectionist. He would spend hours on a single stroke, often becoming frustrated and abandoning his work. His art teacher noticed. She gave him a large canvas and told him to paint whatever came to mind in just one hour, without stopping or judging. Ben hesitated, then began. He painted wildly, freely, splashing color onto the canvas. The result wasn't perfect, but it was vibrant and full of energy. He learned that sometimes, letting go is essential for creation.",What was Ben's biggest challenge with painting?,Finding inspiration,Affording supplies,Being a perfectionist,Not having enough time,C,What was the art teacher's unusual instruction?,To paint the same thing repeatedly,To paint without stopping or judging for one hour,To only use one color,To paint something very realistic,B,What did Ben learn from the exercise?,Perfection is always achievable,It's better to work slowly and meticulously,Sometimes letting go is necessary for creativity,He wasn't a good painter,C
7,"The old oak tree stood on a hill, a silent witness to generations. Children played beneath its branches, lovers carved their initials into its bark, and the elderly rested in its shade. It provided shelter, a meeting place, and a sense of continuity for the town. One stormy night, lightning struck, splitting the ancient trunk. The townspeople mourned its loss, but from its roots, new saplings began to grow, promising new life and continuing the tree's legacy.",What did the old oak tree represent to the town?,A source of food,A place to hide,Continuity and community,A warning of danger,C,What happened to the old oak tree?,It was cut down for wood,It died of old age,It was struck by lightning,It was moved to a different location,C,What emerged from the roots of the old tree?,Flowers,New saplings,Rocks,Water,B
8,"Sarah was a quiet librarian who found solace in books. She noticed that many of her patrons seemed lonely or unsure of what to read. She started leaving small, handwritten notes in books she loved, suggesting other titles or simply sharing a thoughtful quote. Slowly, people began to seek out her recommendations, and the library became a place of connection, not just for books, but for the people who read them. Sarah, the quiet librarian, had built a community one note at a time.",What was Sarah's job?,Teacher,Artist,Librarian,Baker,C,What did Sarah start doing in the books?,Highlighting sentences,Drawing pictures,Leaving handwritten notes,Removing pages,C,What was the effect of Sarah's actions on the library?,It became a noisy place,Fewer people visited,It became a place of connection,The books were damaged,C
9,"The traveling musician played his worn-out guitar in the bustling city square. People hurried past, lost in their own worlds. He played simple melodies, hoping to catch an ear, touch a heart. One afternoon, a young girl stopped and listened, her eyes wide with wonder. Her mother stopped too, then another person, and another. A small crowd gathered, momentarily connected by the music. The musician smiled; he hadn't earned much money, but he had shared a moment of beauty.",Where did the traveling musician play his guitar?,In a concert hall,On a busy street corner,In a quiet park,By a river,B,Who was the first person to stop and listen to the musician?,An old man,A young girl,A businessman,Another musician,B,What did the musician feel at the end of the story?,Disappointed,Angry,Satisfied by sharing beauty,Tired and hungry,C
10,"A group of friends decided to climb a difficult mountain. The ascent was challenging, marked by steep slopes and unpredictable weather. Some wanted to turn back, discouraged by the effort. But they encouraged each other, shared their water and snacks, and celebrated small victories along the way. When they finally reached the summit, the view was breathtaking, a reward for their perseverance and teamwork. The climb had tested their limits, but it had also strengthened their bond.",What were the friends trying to do?,Swim across a lake,Build a house,Climb a mountain,Explore a cave,C,What challenges did they face during the climb?,Lack of equipment,Steep slopes and bad weather,Disagreements among the group,Wild animals,B,What was the main reason they succeeded in reaching the summit?,Individual strength,Good luck,Mutual encouragement and teamwork,A very easy path,C
11,"The old fisherman had spent his life at sea. He knew the tides, the winds, and the language of the gulls. One day, he found a message in a bottle, tossed by a child from a distant land, filled with simple questions about the ocean. He couldn't write back, but he felt a connection across the waves. He continued to fish, but now, with each cast of his net, he felt he was also sending a silent message back, a story of the sea for the child who wondered.",What was the old fisherman's life spent doing?,Working in a factory,Traveling the world,Fishing at sea,Writing stories,C,What did the fisherman find in a bottle?,Money,A map,A message with questions about the ocean,A small toy,C,How did the fisherman respond to the message?,He wrote a long letter back,He ignored it,He felt a connection and shared his own story of the sea through his actions,He tried to find the child,C
12,"The city park was a small patch of green surrounded by towering buildings. It was a sanctuary for birds, squirrels, and weary city dwellers. A young artist started painting murals on the park's walls, depicting vibrant flowers and lush trees. Her art transformed the concrete boundaries into a continuation of the park's natural beauty. People lingered longer, smiling at the unexpected color. The artist had brought a little more nature into the urban landscape, one brushstroke at a time.",What was the city park surrounded by?,Other parks,Mountains,Tall buildings,A river,C,What did the young artist do in the park?,Planted trees,Played music,Painted murals on the walls,Gave guided tours,C,What was the effect of the artist's murals?,They made the park smaller,They scared away the animals,They added beauty and color to the urban landscape,They were quickly removed,C
13,"A baker known for his perfectly crafted pastries noticed a young boy often staring longingly through his shop window. The boy never came inside. One rainy afternoon, the baker baked an extra loaf of bread and two pastries. He stepped outside and offered them to the boy, who accepted with wide, grateful eyes. From then on, the baker always set aside a little something for the boy. It wasn't just about the food; it was about a simple act of kindness that built an unspoken bond.",What was the baker known for?,Making bread,Making perfectly crafted pastries,Decorating cakes,Selling coffee,B,What did the baker notice about a young boy?,He was stealing from the shop,He was always with his parents,He often stared longingly through the window,He asked for money,C,What was the significance of the baker's actions?,He was trying to get the boy to work for him,He was showing a simple act of kindness and building a bond,He wanted to get rid of leftover food,He was hoping to be paid back later,B
14,"The old lighthouse keeper lived a solitary life, tending the light that guided ships safely through the rocky waters. His only companions were the gulls and the rhythm of the waves. He knew his work was important, a silent conversation with sailors far out at sea. He kept the glass clean and the lamp burning brightly, a constant, reliable signal in the darkness. His dedication was a testament to the quiet, vital role he played in the safety of others.",What was the old lighthouse keeper's job?,Fishing,Building boats,Tending the lighthouse light,Guiding tours,C,Who were the lighthouse keeper's main companions?,Other people,Dogs,Gulls and the waves,Tourists,C,What did the lighthouse keeper's dedication ensure?,That ships would avoid the area,That the gulls were fed,That ships were guided safely,That he would be famous,C
15,"A group of strangers were stuck in an airport during a blizzard. Flights were cancelled, and frustration mounted. Instead of complaining, one woman started telling jokes. Soon, others joined in, sharing stories and laughter. Someone produced a deck of cards, another shared snacks. The terminal transformed from a place of stress to a temporary community. The blizzard outside was raging, but inside, warmth and connection had blossomed unexpectedly.",Where were the strangers stuck?,On a train,In an airport,On a bus,In a hotel,B,What was the initial atmosphere in the airport terminal?,Joyful , Calm,Frustrated and stressful,Indifferent,C,What transformed the atmosphere among the strangers?,The arrival of their flights,An announcement from the airport,Sharing jokes stories and activities,A sudden stop to the blizzard,C
